Rank,Score,Symbol,Fund,Category,N Days,Start,End,Ann Return %,Sharpe,Martin,Treynor,Sortino,Omega,Calmar,Summers,Alpha %,Max Drawdown %,CVaR 95% %,Ulcer Index,VaR 95% %,Vol Close-to-Close %,Vol Parkinson %,Vol Garman-Klass %,Vol Rogers-Satchell %,Vol Yang-Zhang %,Beta
1,96.87,PHEFX,Hedged Equity Fund,Hybrid / Multi-Asset,802,2023-07-07,2026-09-18,11.19,0.577,1.682,0.092,0.78,1.109,0.788,N/A,-3.55,-14.19,-1.59,3.68,-1.09,10.71,N/A,N/A,N/A,N/A,0.674
2,92.17,PRCFX,Capital Appreciation and Income Fund,Hybrid / Multi-Asset,699,2023-12-01,2026-09-18,6.7,0.266,1.129,0.044,0.377,1.049,0.912,N/A,-4.46,-7.35,-0.93,1.51,-0.59,6.35,N/A,N/A,N/A,N/A,0.388
3,92.02,TRIGX,International Value Equity Fund,International / Global,1252,2021-09-21,2026-09-18,11.76,0.461,0.768,0.096,0.656,1.082,0.414,N/A,1.66,-28.42,-2.29,8.8,-1.58,16.08,N/A,N/A,N/A,N/A,0.701
4,89.03,TRGVX,Global Value Equity Fund,International / Global,1252,2021-09-21,2026-09-18,9.22,0.323,0.439,0.053,0.436,1.059,0.365,N/A,-1.66,-25.28,-2.37,9.61,-1.46,15.65,N/A,N/A,N/A,N/A,0.793
5,88.75,PREIX,Equity Index 500 Fund,Index,1253,2021-09-21,2026-09-18,11.57,0.434,0.723,0.066,0.616,1.08,0.456,N/A,-0.53,-25.39,-2.48,9.08,-1.65,17.08,N/A,N/A,N/A,N/A,0.997
6,88.6,PRCOX,U.S. Equity Research Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,12.17,0.459,0.741,0.071,0.652,1.084,0.462,N/A,-0.05,-26.35,-2.53,9.68,-1.72,17.48,N/A,N/A,N/A,N/A,1.014
7,84.9,POMIX,Total Equity Market Index Fund,Index,1253,2021-09-21,2026-09-18,10.58,0.374,0.549,0.054,0.529,1.068,0.402,N/A,-1.74,-26.31,-2.58,10.16,-1.71,17.69,N/A,N/A,N/A,N/A,1.026
8,84.33,TQMVX,Integrated U.S. Large-Cap Value Equity Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,7.37,0.213,0.295,0.032,0.282,1.039,0.337,N/A,-3.34,-21.91,-2.44,8.04,-1.45,15.94,N/A,N/A,N/A,N/A,0.752
9,78.21,PRDGX,Dividend Growth Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,5.23,0.079,0.03,0.003,0.109,1.014,0.263,N/A,-5.26,-19.92,-2.14,7.66,-1.39,14.4,N/A,N/A,N/A,N/A,0.764
10,77.21,PRAFX,Real Assets Fund,Sector / Specialty,1251,2021-09-21,2026-09-18,7.46,0.213,0.219,0.032,0.294,1.036,0.279,N/A,-2.83,-26.73,-2.55,11.21,-1.79,17.7,N/A,N/A,N/A,N/A,0.765
11,75.64,PRIJX,Emerging Markets Discovery Stock Fund,International / Global,1251,2021-09-21,2026-09-18,7.76,0.228,0.191,0.041,0.321,1.041,0.249,N/A,-2.13,-31.16,-2.61,14.46,-1.74,18.01,N/A,N/A,N/A,N/A,0.676
12,75.07,PIEQX,International Equity Index Fund,Index,1253,2021-09-21,2026-09-18,6.09,0.138,0.097,0.014,0.196,1.024,0.193,N/A,-4.43,-31.51,-2.32,11.32,-1.62,16.61,N/A,N/A,N/A,N/A,0.764
13,74.22,PRFDX,Equity Income Fund,US Large-Cap / Core,1252,2021-09-21,2026-09-18,4.55,0.042,-0.045,-0.006,0.057,1.008,0.215,N/A,-5.66,-21.13,-2.33,9.87,-1.47,15.48,N/A,N/A,N/A,N/A,0.731
14,71.37,PRISX,Financial Services Fund,Sector / Specialty,1253,2021-09-21,2026-09-18,8.2,0.243,0.258,0.035,0.333,1.044,0.288,N/A,-3.36,-28.43,-3.16,12.4,-1.98,20.54,N/A,N/A,N/A,N/A,0.903
15,70.66,TQSMX,Integrated U.S. Small-Mid Cap Core Equity Fund,US Mid-Cap,1253,2021-09-21,2026-09-18,7.52,0.213,0.231,0.025,0.3,1.037,0.267,N/A,-5.29,-28.2,-2.85,10.91,-2.02,19.95,N/A,N/A,N/A,N/A,1.018
16,70.37,TQGEX,Integrated Global Equity Fund,International / Global,1252,2021-09-21,2026-09-18,5.91,0.133,0.064,0.01,0.17,1.026,0.183,N/A,-5.69,-32.28,-2.56,14.21,-1.5,17.68,N/A,N/A,N/A,N/A,0.896
17,66.67,PRNEX,New Era Fund,Sector / Specialty,1253,2021-09-21,2026-09-18,5.77,0.132,0.074,0.01,0.172,1.024,0.211,N/A,-4.43,-27.34,-3.06,10.37,-1.92,19.98,N/A,N/A,N/A,N/A,0.737
18,66.38,PREFX,Tax-Efficient Equity Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,9.67,0.303,0.281,0.038,0.428,1.054,0.26,N/A,-4.08,-37.26,-3.17,16.62,-2.17,21.83,N/A,N/A,N/A,N/A,1.228
19,62.96,PSILX,Spectrum International Equity Fund,International / Global,1248,2021-09-21,2026-09-18,3.51,-0.011,-0.087,-0.02,-0.015,0.998,0.102,N/A,-6.8,-34.5,-2.38,17.12,-1.56,16.52,N/A,N/A,N/A,N/A,0.744
20,62.54,RPGIX,Global Industrials Fund,Sector / Specialty,1251,2021-09-21,2026-09-18,5.87,0.137,0.065,0.008,0.192,1.024,0.168,N/A,-6.86,-34.95,-2.98,13.46,-1.95,20.51,N/A,N/A,N/A,N/A,1.044
21,61.11,TRVLX,Value Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,2.81,-0.062,-0.134,-0.031,-0.079,0.988,0.092,N/A,-7.57,-30.56,-2.37,16.34,-1.38,15.71,N/A,N/A,N/A,N/A,0.714
22,51.85,TRMCX,Mid-Cap Value Fund,US Mid-Cap,1252,2021-09-21,2026-09-18,2.01,-0.055,-0.205,-0.035,-0.071,0.99,0.064,N/A,-9.51,-31.27,-2.95,14.62,-1.67,19.54,N/A,N/A,N/A,N/A,0.864
23,50.14,PRLAX,Latin America Fund,International / Global,1252,2021-09-21,2026-09-18,3.09,0.033,-0.141,-0.026,0.045,1.006,0.104,N/A,-7.24,-29.59,-3.44,13.55,-2.42,23.31,N/A,N/A,N/A,N/A,0.747
24,49.15,TGPEX,Global Impact Equity Fund,International / Global,1252,2021-09-21,2026-09-18,2.03,-0.065,-0.18,-0.029,-0.092,0.989,0.057,N/A,-10.38,-35.38,-2.63,16.56,-1.9,18.85,N/A,N/A,N/A,N/A,1.011
25,48.58,PRITX,International Stock Fund,International / Global,1252,2021-09-21,2026-09-18,1.06,-0.143,-0.251,-0.049,-0.195,0.975,0.03,N/A,-9.62,-35.2,-2.47,15.7,-1.58,17.23,N/A,N/A,N/A,N/A,0.799
26,48.43,PRWCX,Capital Appreciation Fund,Hybrid / Multi-Asset,1253,2021-09-21,2026-09-18,0.09,-0.278,-0.358,-0.075,-0.336,0.943,0.004,N/A,-9.63,-26.75,-2.14,13.72,-1.07,14.04,N/A,N/A,N/A,N/A,0.656
27,47.58,RPBAX,Balanced Fund,Hybrid / Multi-Asset,1250,2021-09-21,2026-09-18,0.2,-0.318,-0.302,-0.075,-0.404,0.941,0.006,N/A,-9.17,-30.32,-1.93,15.88,-1.12,12.6,N/A,N/A,N/A,N/A,0.642
28,46.44,TRGOX,Large-Cap Growth Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,3.9,0.067,-0.051,-0.009,0.091,1.012,0.089,N/A,-10.34,-44.0,-3.49,21.37,-2.28,23.39,N/A,N/A,N/A,N/A,1.246
29,45.58,PRMSX,Emerging Markets Stock Fund,International / Global,1250,2021-09-21,2026-09-18,2.05,-0.055,-0.102,-0.041,-0.077,0.99,0.047,N/A,-8.08,-43.42,-2.85,29.08,-1.96,19.47,N/A,N/A,N/A,N/A,0.729
30,44.59,PRGSX,Global Stock Fund,International / Global,1252,2021-09-21,2026-09-18,2.78,0.007,-0.093,-0.02,0.009,1.001,0.061,N/A,-10.14,-45.63,-3.32,23.94,-2.1,21.79,N/A,N/A,N/A,N/A,1.11
31,43.45,TRLUX,Large-Cap Value Fund,US Large-Cap / Core,1253,2021-09-21,2026-09-18,0.09,-0.176,-0.273,-0.065,-0.214,0.965,0.003,N/A,-10.61,-29.47,-2.75,17.97,-1.38,18.14,N/A,N/A,N/A,N/A,0.757
32,39.6,PRASX,New Asia Fund,International / Global,1252,2021-09-21,2026-09-18,1.52,-0.059,-0.115,-0.045,-0.081,0.989,0.033,N/A,-8.78,-46.4,-3.07,30.3,-2.02,21.15,N/A,N/A,N/A,N/A,0.768
33,39.46,RPGEX,Global Growth Stock Fund,International / Global,1252,2021-09-21,2026-09-18,0.6,-0.137,-0.175,-0.045,-0.182,0.975,0.013,N/A,-11.37,-44.6,-2.85,25.08,-1.83,18.93,N/A,N/A,N/A,N/A,0.983
